cz,czname,pop2000,stateabbrv,year,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
302,Knoxville,727600,TN,2011,79.808517,80.37471,86.593399,86.875404,88.790901,89.049721,86.738457,86.99575,73.035789,73.622589,79.14399,79.617584,83.131027,83.590569,86.127762,86.424728,1.6921669,1.6360507,1.6887559,1.6040186,2.1065936,1.9913996,3.3176301,3.2144549,1.0970585,1.1063588,1.8237128,1.7927459,2.1223409,2.0499036,3.0664003,2.9767163,31815,32117,31064,26035,29804,29977,30103,24359
302,Knoxville,727600,TN,2012,83.838326,84.252769,84.109489,84.512657,86.275909,86.665344,89.249443,89.393456,73.175323,73.778473,80.865738,81.283783,83.326759,83.794403,87.352997,87.553253,1.5503287,1.4765639,2.0491064,1.9580317,2.21438,2.1045558,2.3600211,2.2653103,1.0367367,1.0351442,1.576893,1.5274405,2.1348567,2.0619509,1.9301469,1.847155,31105,31640,31204,26370,29518,29712,30130,24570
302,Knoxville,727600,TN,2013,80.211037,80.771042,83.085335,83.552879,88.606621,88.869789,89.187485,89.321404,75.748718,76.309547,78.365654,78.830406,83.43837,83.907997,85.773567,86.050941,1.6218052,1.5605977,2.3082361,2.2276292,1.8360145,1.7308972,2.1691086,2.0796833,1.2484288,1.2263966,1.6429875,1.6110448,2.3802991,2.3018215,2.6023161,2.5189252,30821,31442,31159,26171,29910,29895,29974,24128
302,Knoxville,727600,TN,2014,82.598938,83.025749,87.867569,88.057106,87.630516,87.940712,91.981064,92.016678,75.383888,75.955269,77.625923,78.099449,83.204536,83.664703,89.507378,89.586769,1.4072485,1.3426661,1.2763026,1.2110521,2.0175486,1.9057121,1.3950241,1.3443012,1.2601765,1.2441511,1.6389989,1.6205698,2.0336599,1.9561878,1.280502,1.2226022,29912,30497,29949,25148,28698,28816,28779,23078
500,Greensboro,1055133,NC,2001,80.303276,81.084351,86.50238,86.919441,86.626976,86.974785,85.35833,85.73111,73.641823,74.551567,80.135551,80.737747,83.038177,83.479774,84.419846,84.78244,1.7455509,1.7015994,1.4225212,1.3602498,1.9374808,1.8617148,2.7536273,2.6592965,1.1456325,1.1555852,1.653766,1.6161016,2.0593233,2.0029349,2.2286046,2.1569355,40600,42447,40941,32295,37386,41179,38944,30540
500,Greensboro,1055133,NC,2002,80.838417,81.625496,86.268265,86.70401,84.557884,84.992126,83.093132,83.549484,74.442909,75.409889,78.769341,79.42881,81.71946,82.203499,83.83741,84.227737,1.5470129,1.5027343,1.2731049,1.2169144,2.0529532,1.9775213,2.9042559,2.828655,1.1090648,1.1125876,1.4219213,1.396587,2.0788836,2.0351515,2.4681554,2.3976812,42896,43421,41447,32136,39158,42356,39635,30155
500,Greensboro,1055133,NC,2003,81.249191,82.036591,82.462662,83.039711,88.207108,88.484505,90.057236,90.232712,75.861191,76.796234,78.680908,79.327614,84.961678,85.336205,85.73494,86.049843,1.457907,1.413527,2.107754,2.0414112,1.5875382,1.5235862,2.3513968,2.2574997,1.160316,1.1481007,1.4814962,1.4605165,1.7245209,1.6652452,2.1952157,2.1189644,44776,44056,41544,31764,40611,43093,39317,29914
500,Greensboro,1055133,NC,2004,82.446762,83.179443,86.236542,86.664215,85.406342,85.799995,89.622871,89.803497,74.399956,75.355286,78.479118,79.120804,84.284119,84.684273,85.658699,85.98555,1.4791285,1.4312075,1.626718,1.5567048,2.3935201,2.3080273,2.0626194,1.9796721,1.0919077,1.0956481,1.5312835,1.5145575,1.7463852,1.6897417,2.47947,2.3994043,45375,44777,41767,32002,41099,43321,39988,29902
500,Greensboro,1055133,NC,2005,83.687027,84.372437,86.93364,87.333847,83.705963,84.167892,89.885788,90.052681,76.691742,77.628853,79.341698,79.992317,81.325905,81.823586,83.955803,84.34436,1.3860649,1.3383752,1.4504788,1.3866116,2.2660487,2.192704,1.8135188,1.7373829,1.1728109,1.1540819,1.3808389,1.3517898,1.8445716,1.8056785,2.6306491,2.5613117,46533,45307,41967,31870,41593,43633,39988,29895
500,Greensboro,1055133,NC,2006,82.977051,83.688713,84.070961,84.595367,88.563797,88.824715,90.876663,91.00013,75.114723,76.087273,81.244339,81.839676,82.404228,82.872536,85.080582,85.431015,1.4461448,1.3928635,1.8132002,1.7452431,1.524766,1.4626875,1.4715885,1.4119052,1.0587175,1.0598396,1.4060831,1.3636078,1.6355133,1.5853528,2.6137211,2.5364676,47662,45820,42453,31787,42487,43964,40281,29772
